equip									100												
装备编号	装备名字	装备穿戴职业	装备的部位	装备品质	装备描述	装备图标	装备穿戴等级	装备附带攻击	装备附带攻速	装备附带范围	装备附带HP	装备升级攻击增量	装备升级攻速增量	装备升级范围增量	装备升级HP增量	装备是否为神装	神装升星所需装备编号	神装升星所需道具编号	装备所属套装编号	装备合成需要的碎片数	装备碎片售价
1	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1
1	2	3	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
number#	name	races	part	quality	description	icon	level	attack	speed	range	hp	rankAttack	rankSpeed	rankRange	rankHp	isMagic	upStarEquip	upStarInventory	suit	composeChipCount	chipPrice
1101	700001	[1,2]	1	1	710001	1101	1	15	0	0	0	300	0	0	0	0	0	0	0	10	1
1201	700002	[1,2]	2	1	710002	1201	1	8	0	5	0	150	0	40	0	0	0	0	0	10	1
1301	700003	[1,2]	3	1	710003	1301	1	0	0	0	200	0	0	0	4000	0	0	0	0	10	1
1401	700004	[1,2]	4	1	710004	1401	1	7	5	0	0	150	40	0	0	0	0	0	0	10	1
1501	700005	[1,2]	5	1	710005	1501	1	0	0	0	0	0	0	0	0	0	0	0	0	10	1
1601	700006	[1,2]	6	1	710006	1601	1	0	10	0	50	0	50	0	2000	0	0	0	0	10	1
1102	700007	[3,4]	1	1	710007	1102	1	15	0	0	0	300	0	0	0	0	0	0	0	10	1
1202	700008	[3,4]	2	1	710008	1202	1	8	0	5	0	150	0	40	0	0	0	0	0	10	1
1302	700009	[3,4]	3	1	710009	1302	1	0	0	0	200	0	0	0	4000	0	0	0	0	10	1
1402	700010	[3,4]	4	1	710010	1402	1	7	5	0	0	150	40	0	0	0	0	0	0	10	1
1502	700011	[3,4]	5	1	710011	1502	1	0	0	0	0	0	0	0	0	0	0	0	0	10	1
1602	700012	[3,4]	6	1	710012	1602	1	0	10	0	50	0	50	0	2000	0	0	0	0	10	1
1103	700013	[1,2]	1	1	710013	1103	1	36	0	0	0	300	0	0	0	0	0	0	0	10	100
1104	700014	[3,4]	1	1	710014	1104	1	32	0	0	0	300	0	0	0	0	0	0	0	10	100
1303	700015	[1,2]	3	1	710015	1303	1	0	0	0	500	0	0	0	4000	0	0	0	0	10	70
1304	700016	[1,2]	3	1	710016	1304	1	0	0	0	500	0	0	0	4000	0	0	0	0	10	70
1203	700017	[1,2,3,4]	2	1	710017	1203	1	15	0	9	0	150	0	40	0	0	0	0	0	10	70
1603	700018	[1,2,3,4]	6	1	710018	1603	1	0	15	0	80	0	50	0	2000	0	0	0	0	10	70
2101	700019	[1,2]	1	2	710019	2101	1	20	0	0	0	400	0	0	0	0	0	0	0	10	200
2201	700020	[1,2]	2	2	710020	2201	1	10	0	10	0	200	0	50	0	0	0	0	0	10	140
2301	700021	[1,2]	3	2	710021	2301	1	0	0	0	300	0	0	0	5000	0	0	0	0	10	140
2401	700022	[1,2]	4	2	710022	2401	1	10	8	0	0	200	50	0	0	0	0	0	0	10	140
2501	700023	[1,2]	5	2	710023	2501	1	0	0	0	0	0	0	0	0	0	0	0	0	10	140
2601	700024	[1,2]	6	2	710024	2601	1	0	12	0	70	0	70	0	3000	0	0	0	0	10	140
2102	700025	[3,4]	1	2	710025	2102	1	20	0	0	0	400	0	0	0	0	0	0	0	10	200
2202	700026	[3,4]	2	2	710026	2202	1	10	0	10	0	200	0	50	0	0	0	0	0	10	140
2302	700027	[3,4]	3	2	710027	2302	1	0	0	0	300	0	0	0	5000	0	0	0	0	10	140
2402	700028	[3,4]	4	2	710028	2402	1	10	8	0	0	200	50	0	0	0	0	0	0	10	140
2502	700029	[3,4]	5	2	710029	2502	1	0	0	0	0	0	0	0	0	0	0	0	0	10	140
2602	700030	[3,4]	6	2	710030	2602	1	0	12	0	70	0	70	0	3000	0	0	0	0	10	140
2111	700031	[1,2]	1	2	710031	2101	1	30	0	0	0	450	0	0	0	0	0	0	0	10	300
2211	700032	[1,2]	2	2	710032	2201	1	15	0	10	0	200	0	50	0	0	0	0	0	10	200
2311	700033	[1,2]	3	2	710033	2301	1	0	0	0	350	0	0	0	5500	0	0	0	0	10	200
2411	700034	[1,2]	4	2	710034	2401	1	15	9	0	0	200	50	0	0	0	0	0	0	10	200
2511	700035	[1,2]	5	2	710035	2501	1	0	0	0	0	0	0	0	0	0	0	0	0	10	200
2611	700036	[1,2]	6	2	710036	2601	1	0	13	0	80	0	70	0	3200	0	0	0	0	10	200
2112	700037	[3,4]	1	2	710037	2102	1	30	0	0	0	450	0	0	0	0	0	0	0	10	300
2212	700038	[3,4]	2	2	710038	2202	1	15	0	10	0	200	0	50	0	0	0	0	0	10	200
2312	700039	[3,4]	3	2	710039	2302	1	0	0	0	350	0	0	0	5500	0	0	0	0	10	200
2412	700040	[3,4]	4	2	710040	2402	1	15	9	0	0	200	50	0	0	0	0	0	0	10	200
2512	700041	[3,4]	5	2	710041	2502	1	0	0	0	0	0	0	0	0	0	0	0	0	10	200
2612	700042	[3,4]	6	2	710042	2602	1	0	13	0	80	0	70	0	3200	0	0	0	0	10	200
