mob								
怪物编号	怪物avatar	怪物攻击	怪物血量	怪物速度	怪物类型	怪物死亡加魔法值	怪物功能类型	不可中buff
2	2	2	2	2	2	2	2	2
1	2	1	1	1	1	1	1	3
number#	avatar	attack	hp	speed	type	mp	funcType	unbuff
11010001	3110	1	1100	50	1	2	0	[]
11010002	1101	1	100	40	1	2	0	[]
11010003	1101	1	100	40	1	2	0	[]
11010004	1101	1	55	40	1	2	0	[]
11010005	1101	1	100	40	1	2	0	[]
11010006	1101	1	65	40	1	2	0	[]
11010007	1101	1	70	40	1	2	0	[]
11010008	1101	1	75	40	1	2	0	[]
11010009	1101	1	80	40	1	2	0	[]
11010010	1101	1	90	40	1	2	0	[]
11010011	1101	1	100	40	1	2	0	[]
11010012	1101	1	110	40	1	2	0	[]
11010013	1101	1	120	40	1	2	0	[]
11010014	1101	1	130	40	1	2	0	[]
11010015	1101	1	140	40	1	2	0	[]
11010016	1101	1	150	40	1	2	0	[]
11010017	1101	1	160	40	1	2	0	[]
11010018	1101	1	170	40	1	2	0	[]
11010019	1101	1	180	40	1	2	0	[]
11010020	1101	1	190	40	1	2	0	[]
11010021	1101	1	200	40	1	2	0	[]
11010022	1101	1	210	40	1	2	0	[]
11010023	1101	1	220	40	1	2	0	[]
11010024	1101	1	230	40	1	2	0	[]
11010025	1101	1	235	40	1	2	0	[]
11010026	1101	1	240	40	1	2	0	[]
11010027	1101	1	245	40	1	2	0	[]
11010028	1101	1	250	40	1	2	0	[]
11010029	1101	1	255	40	1	2	0	[]
11010030	1101	1	260	40	1	2	0	[]
11010031	1101	1	265	40	1	2	0	[]
11010032	1101	1	270	40	1	2	0	[]
11010033	1101	1	275	40	1	2	0	[]
11010034	1101	1	280	40	1	2	0	[]
11010035	1101	1	285	40	1	2	0	[]
11010036	1101	1	290	40	1	2	0	[]
11010037	1101	1	295	40	1	2	0	[]
11010038	1101	1	300	40	1	2	0	[]
11010039	1101	1	305	40	1	2	0	[]
11010040	1101	1	310	40	1	2	0	[]
11010041	1101	1	325	40	1	2	0	[]
11010042	1101	1	340	40	1	2	0	[]
11010043	1101	1	355	40	1	2	0	[]
11010044	1101	1	370	40	1	2	0	[]
11010045	1101	1	385	40	1	2	0	[]
11010046	1101	1	400	40	1	2	0	[]
11010047	1101	1	415	40	1	2	0	[]
11010048	1101	1	430	40	1	2	0	[]
11010049	1101	1	445	40	1	2	0	[]
11010050	1101	1	460	40	1	2	0	[]
11010051	1101	1	475	40	1	2	0	[]
